snapshot_utc,mode,event_id,commence_utc,home,away,book,market,outcome,point,price
2026-09-05T00:16:46Z,closing,1b0e8aa1b257757991d6d1e3d3d0bab9,2026-09-05T00:41:00Z,Colorado Rockies,St. Louis Cardinals,fanduel,h2h,Colorado Rockies,,2.08
2026-09-05T00:16:46Z,closing,1b0e8aa1b257757991d6d1e3d3d0bab9,2026-09-05T00:41:00Z,Colorado Rockies,St. Louis Cardinals,fanduel,h2h,St. Louis Cardinals,,1.79
2026-09-05T00:16:46Z,closing,1b0e8aa1b257757991d6d1e3d3d0bab9,2026-09-05T00:41:00Z,Colorado Rockies,St. Louis Cardinals,fanduel,spreads,Colorado Rockies,1.5,1.7
2026-09-05T00:16:46Z,closing,1b0e8aa1b257757991d6d1e3d3d0bab9,2026-09-05T00:41:00Z,Colorado Rockies,St. Louis Cardinals,fanduel,spreads,St. Louis Cardinals,-1.5,2.18
2026-09-05T00:16:46Z,closing,1b0e8aa1b257757991d6d1e3d3d0bab9,2026-09-05T00:41:00Z,Colorado Rockies,St. Louis Cardinals,fanduel,totals,Over,11.5,2.04
2026-09-05T00:16:46Z,closing,1b0e8aa1b257757991d6d1e3d3d0bab9,2026-09-05T00:41:00Z,Colorado Rockies,St. Louis Cardinals,fanduel,totals,Under,11.5,1.78
2026-09-05T00:16:46Z,closing,1b0e8aa1b257757991d6d1e3d3d0bab9,2026-09-05T00:41:00Z,Colorado Rockies,St. Louis Cardinals,coolbet,h2h,Colorado Rockies,,2.08
2026-09-05T00:16:46Z,closing,1b0e8aa1b257757991d6d1e3d3d0bab9,2026-09-05T00:41:00Z,Colorado Rockies,St. Louis Cardinals,coolbet,h2h,St. Louis Cardinals,,1.76
2026-09-05T00:16:46Z,closing,1b0e8aa1b257757991d6d1e3d3d0bab9,2026-09-05T00:41:00Z,Colorado Rockies,St. Louis Cardinals,coolbet,spreads,Colorado Rockies,1.5,1.7
2026-09-05T00:16:46Z,closing,1b0e8aa1b257757991d6d1e3d3d0bab9,2026-09-05T00:41:00Z,Colorado Rockies,St. Louis Cardinals,coolbet,spreads,St. Louis Cardinals,-1.5,2.17
2026-09-05T00:16:46Z,closing,1b0e8aa1b257757991d6d1e3d3d0bab9,2026-09-05T00:41:00Z,Colorado Rockies,St. Louis Cardinals,coolbet,totals,Over,11.0,1.87
2026-09-05T00:16:46Z,closing,1b0e8aa1b257757991d6d1e3d3d0bab9,2026-09-05T00:41:00Z,Colorado Rockies,St. Louis Cardinals,coolbet,totals,Under,11.0,1.95
2026-09-05T00:16:46Z,closing,1b0e8aa1b257757991d6d1e3d3d0bab9,2026-09-05T00:41:00Z,Colorado Rockies,St. Louis Cardinals,betsson,h2h,Colorado Rockies,,2.03
2026-09-05T00:16:46Z,closing,1b0e8aa1b257757991d6d1e3d3d0bab9,2026-09-05T00:41:00Z,Colorado Rockies,St. Louis Cardinals,betsson,h2h,St. Louis Cardinals,,1.78
2026-09-05T00:16:46Z,closing,1b0e8aa1b257757991d6d1e3d3d0bab9,2026-09-05T00:41:00Z,Colorado Rockies,St. Louis Cardinals,betsson,spreads,Colorado Rockies,1.5,1.68
2026-09-05T00:16:46Z,closing,1b0e8aa1b257757991d6d1e3d3d0bab9,2026-09-05T00:41:00Z,Colorado Rockies,St. Louis Cardinals,betsson,spreads,St. Louis Cardinals,-1.5,2.13
2026-09-05T00:16:46Z,closing,1b0e8aa1b257757991d6d1e3d3d0bab9,2026-09-05T00:41:00Z,Colorado Rockies,St. Louis Cardinals,betsson,totals,Over,11.0,1.9
2026-09-05T00:16:46Z,closing,1b0e8aa1b257757991d6d1e3d3d0bab9,2026-09-05T00:41:00Z,Colorado Rockies,St. Louis Cardinals,betsson,totals,Under,11.0,1.86
