snapshot_utc,mode,event_id,commence_utc,home,away,book,market,outcome,point,price
2026-09-06T00:46:45Z,closing,ab0bc299e48e6a4feb43688eda780998,2026-09-06T01:11:00Z,Los Angeles Dodgers,Washington Nationals,fanduel,h2h,Los Angeles Dodgers,,1.53
2026-09-06T00:46:45Z,closing,ab0bc299e48e6a4feb43688eda780998,2026-09-06T01:11:00Z,Los Angeles Dodgers,Washington Nationals,fanduel,h2h,Washington Nationals,,2.6
2026-09-06T00:46:45Z,closing,ab0bc299e48e6a4feb43688eda780998,2026-09-06T01:11:00Z,Los Angeles Dodgers,Washington Nationals,fanduel,spreads,Los Angeles Dodgers,-1.5,2.25
2026-09-06T00:46:45Z,closing,ab0bc299e48e6a4feb43688eda780998,2026-09-06T01:11:00Z,Los Angeles Dodgers,Washington Nationals,fanduel,spreads,Washington Nationals,1.5,1.67
2026-09-06T00:46:45Z,closing,ab0bc299e48e6a4feb43688eda780998,2026-09-06T01:11:00Z,Los Angeles Dodgers,Washington Nationals,fanduel,totals,Over,7.0,1.95
2026-09-06T00:46:45Z,closing,ab0bc299e48e6a4feb43688eda780998,2026-09-06T01:11:00Z,Los Angeles Dodgers,Washington Nationals,fanduel,totals,Under,7.0,1.87
2026-09-06T00:46:45Z,closing,ab0bc299e48e6a4feb43688eda780998,2026-09-06T01:11:00Z,Los Angeles Dodgers,Washington Nationals,draftkings,h2h,Los Angeles Dodgers,,1.53
2026-09-06T00:46:45Z,closing,ab0bc299e48e6a4feb43688eda780998,2026-09-06T01:11:00Z,Los Angeles Dodgers,Washington Nationals,draftkings,h2h,Washington Nationals,,2.54
2026-09-06T00:46:45Z,closing,ab0bc299e48e6a4feb43688eda780998,2026-09-06T01:11:00Z,Los Angeles Dodgers,Washington Nationals,draftkings,spreads,Los Angeles Dodgers,-1.5,2.24
2026-09-06T00:46:45Z,closing,ab0bc299e48e6a4feb43688eda780998,2026-09-06T01:11:00Z,Los Angeles Dodgers,Washington Nationals,draftkings,spreads,Washington Nationals,1.5,1.67
2026-09-06T00:46:45Z,closing,ab0bc299e48e6a4feb43688eda780998,2026-09-06T01:11:00Z,Los Angeles Dodgers,Washington Nationals,draftkings,totals,Over,7.0,1.95
2026-09-06T00:46:45Z,closing,ab0bc299e48e6a4feb43688eda780998,2026-09-06T01:11:00Z,Los Angeles Dodgers,Washington Nationals,draftkings,totals,Under,7.0,1.88
2026-09-06T00:46:45Z,closing,ab0bc299e48e6a4feb43688eda780998,2026-09-06T01:11:00Z,Los Angeles Dodgers,Washington Nationals,betmgm,h2h,Los Angeles Dodgers,,1.53
2026-09-06T00:46:45Z,closing,ab0bc299e48e6a4feb43688eda780998,2026-09-06T01:11:00Z,Los Angeles Dodgers,Washington Nationals,betmgm,h2h,Washington Nationals,,2.54
2026-09-06T00:46:45Z,closing,ab0bc299e48e6a4feb43688eda780998,2026-09-06T01:11:00Z,Los Angeles Dodgers,Washington Nationals,betmgm,spreads,Los Angeles Dodgers,-1.5,2.25
2026-09-06T00:46:45Z,closing,ab0bc299e48e6a4feb43688eda780998,2026-09-06T01:11:00Z,Los Angeles Dodgers,Washington Nationals,betmgm,spreads,Washington Nationals,1.5,1.67
2026-09-06T00:46:45Z,closing,ab0bc299e48e6a4feb43688eda780998,2026-09-06T01:11:00Z,Los Angeles Dodgers,Washington Nationals,betmgm,totals,Over,7.0,1.95
2026-09-06T00:46:45Z,closing,ab0bc299e48e6a4feb43688eda780998,2026-09-06T01:11:00Z,Los Angeles Dodgers,Washington Nationals,betmgm,totals,Under,7.0,1.87
2026-09-06T00:46:45Z,closing,ab0bc299e48e6a4feb43688eda780998,2026-09-06T01:11:00Z,Los Angeles Dodgers,Washington Nationals,pinnacle,h2h,Los Angeles Dodgers,,1.58
2026-09-06T00:46:45Z,closing,ab0bc299e48e6a4feb43688eda780998,2026-09-06T01:11:00Z,Los Angeles Dodgers,Washington Nationals,pinnacle,h2h,Washington Nationals,,2.57
2026-09-06T00:46:45Z,closing,ab0bc299e48e6a4feb43688eda780998,2026-09-06T01:11:00Z,Los Angeles Dodgers,Washington Nationals,pinnacle,spreads,Los Angeles Dodgers,-1.5,2.32
