snapshot_utc,mode,event_id,commence_utc,home,away,book,market,outcome,point,price
2026-09-22T01:25:51Z,closing,7294e99a67c70c66b6edecf9841d4f03,2026-09-22T01:46:00Z,San Francisco Giants,Minnesota Twins,fanduel,h2h,Minnesota Twins,,1.77
2026-09-22T01:25:51Z,closing,7294e99a67c70c66b6edecf9841d4f03,2026-09-22T01:46:00Z,San Francisco Giants,Minnesota Twins,fanduel,h2h,San Francisco Giants,,2.1
2026-09-22T01:25:51Z,closing,7294e99a67c70c66b6edecf9841d4f03,2026-09-22T01:46:00Z,San Francisco Giants,Minnesota Twins,fanduel,spreads,Minnesota Twins,-1.5,2.3
2026-09-22T01:25:51Z,closing,7294e99a67c70c66b6edecf9841d4f03,2026-09-22T01:46:00Z,San Francisco Giants,Minnesota Twins,fanduel,spreads,San Francisco Giants,1.5,1.64
2026-09-22T01:25:51Z,closing,7294e99a67c70c66b6edecf9841d4f03,2026-09-22T01:46:00Z,San Francisco Giants,Minnesota Twins,fanduel,totals,Over,8.5,2.04
2026-09-22T01:25:51Z,closing,7294e99a67c70c66b6edecf9841d4f03,2026-09-22T01:46:00Z,San Francisco Giants,Minnesota Twins,fanduel,totals,Under,8.5,1.78
2026-09-22T01:25:51Z,closing,7294e99a67c70c66b6edecf9841d4f03,2026-09-22T01:46:00Z,San Francisco Giants,Minnesota Twins,pinnacle,h2h,Minnesota Twins,,1.82
2026-09-22T01:25:51Z,closing,7294e99a67c70c66b6edecf9841d4f03,2026-09-22T01:46:00Z,San Francisco Giants,Minnesota Twins,pinnacle,h2h,San Francisco Giants,,2.13
2026-09-22T01:25:51Z,closing,7294e99a67c70c66b6edecf9841d4f03,2026-09-22T01:46:00Z,San Francisco Giants,Minnesota Twins,pinnacle,spreads,Minnesota Twins,-1.5,2.37
2026-09-22T01:25:51Z,closing,7294e99a67c70c66b6edecf9841d4f03,2026-09-22T01:46:00Z,San Francisco Giants,Minnesota Twins,pinnacle,spreads,San Francisco Giants,1.5,1.66
2026-09-22T01:25:51Z,closing,7294e99a67c70c66b6edecf9841d4f03,2026-09-22T01:46:00Z,San Francisco Giants,Minnesota Twins,pinnacle,totals,Over,8.0,1.95
2026-09-22T01:25:51Z,closing,7294e99a67c70c66b6edecf9841d4f03,2026-09-22T01:46:00Z,San Francisco Giants,Minnesota Twins,pinnacle,totals,Under,8.0,1.93
2026-09-22T01:25:51Z,closing,7294e99a67c70c66b6edecf9841d4f03,2026-09-22T01:46:00Z,San Francisco Giants,Minnesota Twins,draftkings,h2h,Minnesota Twins,,1.76
2026-09-22T01:25:51Z,closing,7294e99a67c70c66b6edecf9841d4f03,2026-09-22T01:46:00Z,San Francisco Giants,Minnesota Twins,draftkings,h2h,San Francisco Giants,,2.09
2026-09-22T01:25:51Z,closing,7294e99a67c70c66b6edecf9841d4f03,2026-09-22T01:46:00Z,San Francisco Giants,Minnesota Twins,draftkings,spreads,Minnesota Twins,-1.5,2.33
2026-09-22T01:25:51Z,closing,7294e99a67c70c66b6edecf9841d4f03,2026-09-22T01:46:00Z,San Francisco Giants,Minnesota Twins,draftkings,spreads,San Francisco Giants,1.5,1.62
2026-09-22T01:25:51Z,closing,7294e99a67c70c66b6edecf9841d4f03,2026-09-22T01:46:00Z,San Francisco Giants,Minnesota Twins,draftkings,totals,Over,8.0,1.91
2026-09-22T01:25:51Z,closing,7294e99a67c70c66b6edecf9841d4f03,2026-09-22T01:46:00Z,San Francisco Giants,Minnesota Twins,draftkings,totals,Under,8.0,1.91
2026-09-22T01:25:51Z,closing,7294e99a67c70c66b6edecf9841d4f03,2026-09-22T01:46:00Z,San Francisco Giants,Minnesota Twins,coolbet,h2h,Minnesota Twins,,1.76
2026-09-22T01:25:51Z,closing,7294e99a67c70c66b6edecf9841d4f03,2026-09-22T01:46:00Z,San Francisco Giants,Minnesota Twins,coolbet,h2h,San Francisco Giants,,2.08
2026-09-22T01:25:51Z,closing,7294e99a67c70c66b6edecf9841d4f03,2026-09-22T01:46:00Z,San Francisco Giants,Minnesota Twins,coolbet,spreads,Minnesota Twins,-1.5,2.33
2026-09-22T01:25:51Z,closing,7294e99a67c70c66b6edecf9841d4f03,2026-09-22T01:46:00Z,San Francisco Giants,Minnesota Twins,coolbet,spreads,San Francisco Giants,1.5,1.61
2026-09-22T01:25:51Z,closing,7294e99a67c70c66b6edecf9841d4f03,2026-09-22T01:46:00Z,San Francisco Giants,Minnesota Twins,coolbet,totals,Over,8.0,1.89
2026-09-22T01:25:51Z,closing,7294e99a67c70c66b6edecf9841d4f03,2026-09-22T01:46:00Z,San Francisco Giants,Minnesota Twins,coolbet,totals,Under,8.0,1.92
2026-09-22T01:25:51Z,closing,7294e99a67c70c66b6edecf9841d4f03,2026-09-22T01:46:00Z,San Francisco Giants,Minnesota Twins,betrivers,h2h,Minnesota Twins,,1.77
