snapshot_utc,mode,event_id,commence_utc,home,away,book,market,outcome,point,price
2026-09-24T00:16:46Z,closing,4e1d4c17ae27eeb2388a146c248b5fb6,2026-09-24T00:41:00Z,Colorado Rockies,Arizona Diamondbacks,fanduel,h2h,Arizona Diamondbacks,,1.62
2026-09-24T00:16:46Z,closing,4e1d4c17ae27eeb2388a146c248b5fb6,2026-09-24T00:41:00Z,Colorado Rockies,Arizona Diamondbacks,fanduel,h2h,Colorado Rockies,,2.36
2026-09-24T00:16:46Z,closing,4e1d4c17ae27eeb2388a146c248b5fb6,2026-09-24T00:41:00Z,Colorado Rockies,Arizona Diamondbacks,fanduel,spreads,Arizona Diamondbacks,-1.5,1.95
2026-09-24T00:16:46Z,closing,4e1d4c17ae27eeb2388a146c248b5fb6,2026-09-24T00:41:00Z,Colorado Rockies,Arizona Diamondbacks,fanduel,spreads,Colorado Rockies,1.5,1.88
2026-09-24T00:16:46Z,closing,4e1d4c17ae27eeb2388a146c248b5fb6,2026-09-24T00:41:00Z,Colorado Rockies,Arizona Diamondbacks,fanduel,totals,Over,11.5,2.1
2026-09-24T00:16:46Z,closing,4e1d4c17ae27eeb2388a146c248b5fb6,2026-09-24T00:41:00Z,Colorado Rockies,Arizona Diamondbacks,fanduel,totals,Under,11.5,1.75
2026-09-24T00:16:46Z,closing,4e1d4c17ae27eeb2388a146c248b5fb6,2026-09-24T00:41:00Z,Colorado Rockies,Arizona Diamondbacks,betsson,h2h,Arizona Diamondbacks,,1.61
2026-09-24T00:16:46Z,closing,4e1d4c17ae27eeb2388a146c248b5fb6,2026-09-24T00:41:00Z,Colorado Rockies,Arizona Diamondbacks,betsson,h2h,Colorado Rockies,,2.33
2026-09-24T00:16:46Z,closing,4e1d4c17ae27eeb2388a146c248b5fb6,2026-09-24T00:41:00Z,Colorado Rockies,Arizona Diamondbacks,betsson,spreads,Arizona Diamondbacks,-1.5,1.9
2026-09-24T00:16:46Z,closing,4e1d4c17ae27eeb2388a146c248b5fb6,2026-09-24T00:41:00Z,Colorado Rockies,Arizona Diamondbacks,betsson,spreads,Colorado Rockies,1.5,1.86
2026-09-24T00:16:46Z,closing,4e1d4c17ae27eeb2388a146c248b5fb6,2026-09-24T00:41:00Z,Colorado Rockies,Arizona Diamondbacks,betsson,totals,Over,11.0,1.9
2026-09-24T00:16:46Z,closing,4e1d4c17ae27eeb2388a146c248b5fb6,2026-09-24T00:41:00Z,Colorado Rockies,Arizona Diamondbacks,betsson,totals,Under,11.0,1.86
2026-09-24T00:16:46Z,closing,4e1d4c17ae27eeb2388a146c248b5fb6,2026-09-24T00:41:00Z,Colorado Rockies,Arizona Diamondbacks,betmgm,h2h,Arizona Diamondbacks,,1.59
2026-09-24T00:16:46Z,closing,4e1d4c17ae27eeb2388a146c248b5fb6,2026-09-24T00:41:00Z,Colorado Rockies,Arizona Diamondbacks,betmgm,h2h,Colorado Rockies,,2.4
2026-09-24T00:16:46Z,closing,4e1d4c17ae27eeb2388a146c248b5fb6,2026-09-24T00:41:00Z,Colorado Rockies,Arizona Diamondbacks,betmgm,spreads,Arizona Diamondbacks,-1.5,1.91
2026-09-24T00:16:46Z,closing,4e1d4c17ae27eeb2388a146c248b5fb6,2026-09-24T00:41:00Z,Colorado Rockies,Arizona Diamondbacks,betmgm,spreads,Colorado Rockies,1.5,1.91
2026-09-24T00:16:46Z,closing,4e1d4c17ae27eeb2388a146c248b5fb6,2026-09-24T00:41:00Z,Colorado Rockies,Arizona Diamondbacks,betmgm,totals,Over,11.0,1.95
2026-09-24T00:16:46Z,closing,4e1d4c17ae27eeb2388a146c248b5fb6,2026-09-24T00:41:00Z,Colorado Rockies,Arizona Diamondbacks,betmgm,totals,Under,11.0,1.87
2026-09-24T00:16:46Z,closing,4e1d4c17ae27eeb2388a146c248b5fb6,2026-09-24T00:41:00Z,Colorado Rockies,Arizona Diamondbacks,draftkings,h2h,Arizona Diamondbacks,,1.6
